,Equipe,Posse,#Jogada,Quarto,Down,Distance,Linha,Campo,Flag,Falta,Time,Jardas,1st down,3rd down,4th down,3&Out,Turnover,Jogada,QB,# Play,Yds,TD,Int,Inc,FF,#FF,FR,#FR,2-pts,FG,#FG,FG Yds,XP,#XP,TD ST,Sack,#Sack1,#Sack2,TFL,# TFL1,# TFL2,DFL,#DFL,D-FF,#D-FF,D-FR,#D-FR,D-Int,#D-Int,Tackle,#Tackle1,#Tackle2,TD - Def,#TD - Def,Safety,#Safety
56,Capitains,5.0,1.0,3.0,1.0,10.0,16,D,,,,,Sim,,,,,Corrida,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,10.0,36.0,,,,
57,Capitains,5.0,2.0,3.0,1.0,10.0,36,D,,,,,,,,,,Corrida,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,3.0,,,,,
58,Capitains,5.0,3.0,3.0,2.0,11.0,35,D,Sim,False start,Capitains,5.0,,,,,,Falta,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Capitains,5.0,4.0,3.0,2.0,16.0,30,D,Sim,Offside,Tigres,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Capitains,5.0,5.0,3.0,2.0,11.0,35,D,,,,,Sim,,,,,Passe,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Capitains,5.0,6.0,3.0,3.0,1.0,35,A,,,,,,Sim,,,,Corrida,,,-6.0,,,,,,,,,,,,,,,,,,Sim,51.0,,,,,,,,,,,,,,,,
62,Capitains,5.0,7.0,3.0,4.0,7.0,39,D,Sim,False start,Capitains,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Capitains,5.0,8.0,3.0,4.0,12.0,34,D,,,,,,,,,,Punt,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Tigres,6.0,1.0,3.0,1.0,10.0,30,D,,,,,,,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Tigres,6.0,2.0,3.0,2.0,10.0,30,D,,,,,,,,,,Corrida,11.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Tigres,6.0,3.0,3.0,3.0,6.0,34,D,,,,,Sim,Sim,,,,Passe,11.0,81.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Tigres,6.0,4.0,4.0,1.0,10.0,35,A,,,,,,,,,,Corrida,11.0,32.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Tigres,6.0,5.0,4.0,2.0,5.0,30,A,,,,,Sim,,,,,Corrida,11.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Tigres,6.0,6.0,4.0,1.0,10.0,24,A,Sim,False start,Capitains,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
